lang,black_id,white_id_1,white_id_2,white_id_3,white_id_4,white_id_5,white_id_6,white_id_7,white_id_8,white_id_9,white_id_10
EN,B001,W473,W291,W184,W457,W387,W375,W229,W127,W051,W417
EN,B002,W319,W428,W341,W344,W101,W421,W129,W051,W417,W320
EN,B003,W409,W034,W355,W231,W336,W181,W417,W051,W471,W362
EN,B004,W494,W424,W296,W187,W389,W120,W006,W138,W455,W417
EN,B005,W051,W417,W362,W471,W158,W190,W254,W043,W466,W094
EN,B006,W319,W495,W183,W120,W013,W407,W430,W102,W372,W146
EN,B007,W051,W417,W231,W047,W044,W158,W362,W471,W190,W450
EN,B008,W428,W183,W344,W051,W417,W313,W416,W471,W158,W362
EN,B009,W394,W335,W173,W319,W428,W389,W065,W144,W331,W026
EN,B010,W051,W417,W471,W362,W158,W254,W190,W043,W355,W473
EN,B011,W085,W222,W173,W291,W457,W118,W231,W375,W144,W336
EN,B012,W051,W417,W047,W471,W158,W362,W190,W254,W087,W043
EN,B013,W159,W407,W375,W229,W414,W207,W270,W252,W042,W294
EN,B014,W051,W417,W158,W471,W362,W190,W254,W043,W151,W150
EN,B015,W417,W051,W471,W158,W362,W451,W254,W190,W222,W035
EN,B016,W336,W051,W417,W313,W471,W362,W158,W085,W394,W190
EN,B017,W451,W303,W041,W051,W417,W320,W044,W158,W471,W362
EN,B018,W051,W417,W044,W471,W362,W158,W254,W190,W450,W491
EN,B019,W318,W051,W417,W158,W362,W471,W190,W254,W087,W043
EN,B020,W336,W051,W149,W417,W241,W471,W362,W158,W190,W069
EN,B021,W303,W044,W051,W417,W471,W041,W362,W158,W450,W190
EN,B022,W295,W391,W331,W051,W417,W471,W158,W362,W027,W190
EN,B023,W187,W389,W455,W087,W002,W417,W051,W435,W497,W494
EN,B024,W376,W051,W417,W471,W362,W158,W254,W190,W043,W189
EN,B025,W417,W051,W313,W426,W471,W158,W362,W190,W254,W043
EN,B026,W202,W187,W435,W362,W022,W183,W389,W120,W231,W414
EN,B027,W392,W051,W417,W047,W044,W158,W362,W471,W190,W450
EN,B028,W335,W064,W303,W112,W417,W051,W320,W346,W471,W362
EN,B029,W324,W051,W417,W375,W471,W229,W362,W158,W254,W190
EN,B030,W101,W184,W449,W315,W229,W052,W138,W207,W418,W051
EN,B031,W291,W184,W303,W457,W349,W348,W229,W417,W051,W320
EN,B032,W051,W417,W084,W044,W108,W362,W471,W158,W254,W190
EN,B033,W229,W064,W174,W183,W120,W231,W102,W430,W372,W421
EN,B034,W172,W281,W401,W051,W097,W417,W015,W320,W481,W497
EN,B035,W376,W051,W417,W015,W481,W471,W362,W158,W190,W185
EN,B036,W335,W173,W428,W183,W477,W120,W430,W102,W391,W344
EN,B037,W051,W417,W471,W158,W362,W190,W254,W087,W043,W355
EN,B038,W336,W051,W417,W471,W362,W158,W254,W190,W043,W423
EN,B039,W051,W417,W047,W471,W362,W158,W190,W254,W222,W043
EN,B040,W030,W417,W051,W047,W044,W471,W362,W158,W190,W450
EN,B041,W222,W391,W051,W313,W320,W417,W284,W471,W362,W158
EN,B042,W229,W207,W421,W105,W449,W159,W417,W149,W051,W471
EN,B043,W087,W473,W064,W387,W286,W127,W051,W417,W313,W212
