lang,black_id,white_id_1,white_id_2,white_id_3,white_id_4,white_id_5
EN,B001,W473,W291,W184,W457,W387
EN,B002,W319,W428,W341,W101,W344
EN,B003,W409,W034,W355,W231,W336
EN,B004,W494,W424,W187,W296,W006
EN,B005,W051,W417,W471,W158,W362
EN,B006,W319,W495,W183,W120,W013
EN,B007,W051,W417,W231,W047,W362
EN,B008,W428,W183,W344,W051,W417
EN,B009,W394,W335,W173,W319,W428
EN,B010,W417,W051,W471,W362,W158
EN,B011,W085,W222,W173,W291,W457
EN,B012,W051,W417,W047,W471,W362
EN,B013,W159,W375,W414,W229,W407
EN,B014,W417,W051,W158,W471,W362
EN,B015,W051,W417,W471,W362,W158
EN,B016,W336,W051,W417,W313,W362
EN,B017,W451,W303,W041,W417,W051
EN,B018,W417,W051,W471,W362,W044
EN,B019,W318,W051,W417,W362,W471
EN,B020,W336,W051,W417,W149,W241
EN,B021,W303,W044,W417,W051,W471
EN,B022,W295,W391,W417,W051,W331
EN,B023,W187,W389,W455,W087,W051
EN,B024,W376,W417,W051,W471,W362
EN,B025,W417,W051,W313,W426,W471
EN,B026,W202,W187,W435,W362,W022
EN,B027,W392,W051,W417,W047,W362
EN,B028,W335,W064,W303,W112,W051
EN,B029,W324,W417,W051,W375,W471
EN,B030,W101,W184,W449,W138,W315
EN,B031,W291,W303,W184,W457,W229
EN,B032,W051,W417,W084,W362,W471
EN,B033,W229,W064,W174,W183,W120
EN,B034,W172,W401,W051,W015,W281
EN,B035,W376,W051,W417,W481,W015
EN,B036,W173,W335,W428,W477,W183
EN,B037,W417,W051,W471,W362,W158
EN,B038,W336,W417,W051,W471,W362
EN,B039,W051,W417,W047,W362,W471
EN,B040,W030,W051,W417,W047,W158
EN,B041,W222,W391,W051,W417,W320
EN,B042,W229,W207,W421,W105,W051
EN,B043,W087,W473,W064,W387,W286
EN,B044,W064,W229,W428,W269,W286
EN,B045,W389,W187,W455,W051,W417
EN,B046,W165,W051,W417,W015,W320
EN,B047,W064,W417,W051,W471,W158
EN,B048,W190,W087,W051,W417,W320
EN,B049,W051,W417,W158,W471,W362
EN,B050,W051,W417,W471,W158,W362
EN,B051,W183,W120,W430,W102,W372
EN,B052,W051,W417,W047,W471,W158
EN,B053,W319,W051,W417,W158,W471
EN,B054,W022,W428,W417,W051,W259
EN,B055,W051,W417,W158,W471,W362
EN,B056,W051,W417,W471,W158,W362
EN,B057,W051,W417,W362,W471,W158
EN,B058,W451,W165,W114,W417,W051
EN,B059,W319,W296,W087,W051,W417
EN,B060,W114,W051,W417,W465,W471
EN,B061,W051,W010,W417,W320,W471
EN,B062,W125,W369,W389,W169,W231
EN,B063,W231,W389,W395,W144,W087
EN,B064,W064,W355,W391,W051,W417
EN,B065,W183,W120,W430,W102,W372
EN,B066,W051,W417,W320,W471,W158
EN,B067,W403,W051,W417,W047,W471
EN,B068,W127,W051,W417,W471,W362
EN,B069,W030,W303,W044,W064,W229
EN,B070,W335,W047,W391,W087,W417
EN,B071,W428,W174,W051,W417,W047
EN,B072,W051,W417,W047,W376,W471
EN,B073,W418,W335,W291,W443,W457
EN,B074,W210,W051,W417,W471,W158
EN,B075,W146,W051,W417,W149,W044
EN,B076,W051,W417,W229,W362,W471
EN,B077,W291,W457,W311,W229,W051
EN,B078,W291,W116,W051,W417,W087
EN,B079,W051,W417,W047,W471,W362
EN,B080,W229,W303,W374,W051,W364
EN,B081,W319,W125,W213,W417,W051
EN,B082,W127,W417,W051,W087,W212
EN,B083,W319,W428,W187,W389,W455
EN,B084,W364,W320,W303,W231,W229
EN,B085,W087,W127,W398,W064,W051
EN,B086,W064,W417,W051,W320,W313
EN,B087,W164,W183,W120,W231,W389
EN,B088,W451,W417,W051,W320,W362
EN,B089,W448,W051,W417,W320,W313
EN,B090,W051,W417,W320,W471,W027
EN,B091,W417,W051,W471,W362,W158
EN,B092,W127,W051,W417,W471,W362
EN,B093,W064,W303,W051,W417,W313
EN,B094,W051,W417,W047,W471,W158
EN,B095,W289,W473,W177,W428,W064
EN,B096,W125,W450,W313,W002,W129
EN,B097,W038,W355,W391,W336,W127
EN,B098,W229,W207,W051,W417,W421
EN,B099,W365,W457,W118,W302,W148
EN,B100,W051,W320,W417,W284,W471
