lang,black_id,white_id_1,white_id_2,white_id_3,white_id_4,white_id_5
EN,B001,W005,W105,W205,W305,W405
EN,B002,W227,W327,W427,W027,W127
EN,B003,W481,W081,W181,W281,W381
EN,B004,W080,W180,W280,W380,W480
EN,B005,W420,W020,W120,W220,W320
EN,B006,W014,W114,W214,W314,W414
EN,B007,W070,W170,W270,W370,W470
EN,B008,W002,W102,W202,W302,W402
EN,B009,W048,W148,W248,W348,W448
EN,B010,W004,W104,W204,W304,W404
EN,B011,W079,W179,W279,W379,W479
EN,B012,W072,W172,W272,W372,W472
EN,B013,W076,W176,W276,W376,W476
EN,B014,W047,W147,W247,W347,W447
EN,B015,W098,W198,W298,W398,W498
EN,B016,W225,W325,W425,W025,W125
EN,B017,W387,W487,W087,W187,W287
EN,B018,W193,W293,W393,W493,W093
EN,B019,W003,W103,W203,W303,W403
EN,B020,W065,W165,W265,W365,W465
EN,B021,W129,W229,W329,W429,W029
EN,B022,W260,W360,W460,W060,W160
EN,B023,W388,W488,W088,W188,W288
EN,B024,W386,W486,W086,W186,W286
EN,B025,W418,W018,W118,W218,W318
EN,B026,W484,W084,W184,W284,W384
EN,B027,W163,W263,W363,W463,W063
EN,B028,W419,W019,W119,W219,W319
EN,B029,W292,W392,W492,W092,W192
EN,B030,W353,W453,W053,W153,W253
EN,B031,W385,W485,W085,W185,W285
EN,B032,W041,W141,W241,W341,W441
EN,B033,W355,W455,W055,W155,W255
EN,B034,W040,W140,W240,W340,W440
EN,B035,W161,W261,W361,W461,W061
EN,B036,W042,W142,W242,W342,W442
EN,B037,W033,W133,W233,W333,W433
EN,B038,W164,W264,W364,W464,W064
EN,B039,W451,W051,W151,W251,W351
EN,B040,W449,W049,W149,W249,W349
EN,B041,W068,W168,W268,W368,W468
EN,B042,W043,W143,W243,W343,W443
EN,B043,W354,W454,W054,W154,W254
EN,B044,W162,W262,W362,W462,W062
EN,B045,W226,W326,W426,W026,W126
EN,B046,W001,W101,W201,W301,W401
EN,B047,W417,W017,W117,W217,W317
EN,B048,W015,W115,W215,W315,W415
EN,B049,W257,W357,W457,W057,W157
EN,B050,W011,W111,W211,W311,W411
EN,B051,W194,W294,W394,W494,W094
EN,B052,W132,W232,W332,W432,W032
EN,B053,W077,W177,W277,W377,W477
EN,B054,W073,W173,W273,W373,W473
EN,B055,W069,W169,W269,W369,W469
EN,B056,W008,W108,W208,W308,W408
EN,B057,W074,W174,W274,W374,W474
EN,B058,W013,W113,W213,W313,W413
EN,B059,W016,W116,W216,W316,W416
EN,B060,W078,W178,W278,W378,W478
EN,B061,W071,W171,W271,W371,W471
EN,B062,W097,W197,W297,W397,W497
EN,B063,W034,W134,W234,W334,W434
EN,B064,W228,W328,W428,W028,W128
EN,B065,W035,W135,W235,W335,W435
EN,B066,W130,W230,W330,W430,W030
EN,B067,W046,W146,W246,W346,W446
EN,B068,W036,W136,W236,W336,W436
EN,B069,W066,W166,W266,W366,W466
EN,B070,W450,W050,W150,W250,W350
EN,B071,W038,W138,W238,W338,W438
EN,B072,W044,W144,W244,W344,W444
EN,B073,W075,W175,W275,W375,W475
EN,B074,W037,W137,W237,W337,W437
EN,B075,W356,W456,W056,W156,W256
EN,B076,W039,W139,W239,W339,W439
EN,B077,W009,W109,W209,W309,W409
EN,B078,W099,W199,W299,W399,W499
EN,B079,W482,W082,W182,W282,W382
EN,B080,W195,W295,W395,W495,W095
EN,B081,W067,W167,W267,W367,W467
EN,B082,W289,W389,W489,W089,W189
EN,B083,W452,W052,W152,W252,W352
EN,B084,W322,W422,W022,W122,W222
EN,B085,W290,W390,W490,W090,W190
EN,B086,W196,W296,W396,W496,W096
EN,B087,W321,W421,W021,W121,W221
EN,B088,W100,W200,W300,W400,W500
EN,B089,W291,W391,W491,W091,W191
EN,B090,W258,W358,W458,W058,W158
EN,B091,W131,W231,W331,W431,W031
EN,B092,W323,W423,W023,W123,W223
EN,B093,W007,W107,W207,W307,W407
EN,B094,W012,W112,W212,W312,W412
EN,B095,W324,W424,W024,W124,W224
EN,B096,W006,W106,W206,W306,W406
EN,B097,W483,W083,W183,W283,W383
EN,B098,W010,W110,W210,W310,W410
EN,B099,W045,W145,W245,W345,W445
EN,B100,W259,W359,W459,W059,W159
