lang,black_id,white_id_1,white_id_2,white_id_3,white_id_4,white_id_5,white_id_6,white_id_7,white_id_8,white_id_9,white_id_10
EN,B001,W051,W127,W158,W209,W492,W340,W362,W473,W417,W471
EN,B002,W043,W254,W316,W341,W417,W428,W445,W471,W362,W158
EN,B003,W034,W355,W409,W362,W158,W051,W417,W471,W254,W043
EN,B004,W006,W021,W070,W406,W145,W424,W494,W362,W158,W051
EN,B005,W009,W017,W020,W025,W031,W039,W059,W068,W071,W072
EN,B006,W013,W479,W430,W495,W362,W158,W051,W417,W471,W254
EN,B007,W140,W491,W362,W158,W051,W417,W471,W254,W043,W190
EN,B008,W344,W362,W158,W051,W417,W471,W254,W043,W190,W355
EN,B009,W065,W173,W248,W337,W394,W460,W464,W362,W158,W051
EN,B010,W028,W050,W081,W094,W133,W163,W166,W167,W193,W197
EN,B011,W085,W222,W293,W333,W362,W158,W051,W417,W471,W254
EN,B012,W047,W092,W119,W235,W322,W362,W158,W051,W417,W471
EN,B013,W042,W351,W131,W159,W252,W260,W262,W270,W308,W329
EN,B014,W005,W018,W055,W056,W061,W063,W079,W082,W134,W170
EN,B015,W014,W053,W054,W178,W362,W158,W051,W417,W471,W254
EN,B016,W011,W313,W336,W377,W439,W362,W158,W051,W417,W471
EN,B017,W041,W451,W463,W496,W362,W158,W051,W417,W471,W254
EN,B018,W033,W057,W109,W115,W130,W282,W386,W411,W458,W476
EN,B019,W086,W215,W318,W362,W158,W051,W417,W471,W254,W043
EN,B020,W069,W132,W149,W241,W304,W334,W438,W362,W158,W051
EN,B021,W044,W265,W303,W362,W158,W051,W417,W471,W254,W043
EN,B022,W036,W121,W227,W295,W331,W447,W362,W158,W051,W417
EN,B023,W362,W158,W051,W417,W471,W254,W070,W043,W190,W450
EN,B024,W003,W007,W122,W189,W353,W376,W410,W486,W362,W158
EN,B025,W437,W461,W362,W158,W051,W417,W471,W254,W043,W190
EN,B026,W168,W187,W202,W435,W362,W158,W051,W417,W471,W254
EN,B027,W392,W362,W158,W051,W417,W471,W254,W043,W491,W190
EN,B028,W124,W305,W362,W158,W051,W417,W471,W254,W043,W491
EN,B029,W049,W223,W290,W324,W375,W383,W362,W158,W051,W417
EN,B030,W052,W101,W126,W138,W184,W315,W449,W480,W362,W158
EN,B031,W349,W358,W362,W158,W051,W417,W471,W254,W043,W190
EN,B032,W046,W048,W084,W108,W245,W478,W362,W158,W051,W417
EN,B033,W229,W362,W158,W051,W417,W471,W254,W043,W190,W355
EN,B034,W097,W172,W281,W345,W401,W362,W158,W051,W417,W471
EN,B035,W008,W015,W185,W300,W481,W362,W158,W051,W417,W471
EN,B036,W045,W244,W247,W292,W477,W362,W158,W051,W417,W471
EN,B037,W024,W103,W137,W225,W236,W452,W362,W158,W051,W417
EN,B038,W012,W110,W219,W415,W484,W499,W362,W158,W051,W417
EN,B039,W362,W158,W051,W417,W471,W254,W043,W190,W355,W127
EN,B040,W362,W158,W051,W417,W471,W254,W043,W491,W190,W450
EN,B041,W113,W179,W391,W362,W158,W051,W417,W471,W222,W254
EN,B042,W105,W207,W421,W362,W158,W051,W417,W471,W254,W043
EN,B043,W087,W286,W387,W362,W158,W051,W127,W417,W471,W254
EN,B044,W064,W269,W275,W314,W362,W158,W051,W417,W471,W254
EN,B045,W161,W220,W279,W325,W342,W389,W402,W455,W497,W362
EN,B046,W165,W332,W485,W362,W158,W051,W417,W471,W254,W043
EN,B047,W432,W362,W158,W051,W417,W471,W254,W043,W190,W355
EN,B048,W190,W362,W158,W051,W417,W471,W254,W043,W355,W127
EN,B049,W037,W075,W128,W276,W277,W317,W326,W327,W347,W385
EN,B050,W362,W158,W051,W417,W471,W254,W043,W190,W355,W127
EN,B051,W120,W183,W362,W158,W051,W417,W471,W254,W043,W190
EN,B052,W026,W362,W158,W051,W417,W471,W254,W043,W190,W355
EN,B053,W016,W035,W076,W104,W135,W147,W160,W319,W362,W158
EN,B054,W022,W199,W259,W288,W362,W158,W051,W417,W471,W254
EN,B055,W098,W112,W271,W362,W158,W051,W417,W471,W254,W043
EN,B056,W362,W158,W051,W417,W471,W254,W043,W190,W355,W127
EN,B057,W362,W158,W051,W417,W471,W254,W043,W190,W355,W127
EN,B058,W224,W362,W158,W051,W417,W471,W254,W043,W190,W451
EN,B059,W296,W367,W362,W158,W051,W417,W471,W254,W043,W190
EN,B060,W114,W465,W362,W158,W051,W417,W471,W254,W043,W190
EN,B061,W010,W378,W362,W158,W051,W417,W471,W254,W043,W190
EN,B062,W080,W169,W198,W216,W267,W369,W431,W469,W362,W158
EN,B063,W090,W143,W144,W231,W395,W362,W158,W051,W417,W471
