config_name,iteration,language,model,temperature,play,response
FUNNY_5_EN,1,EN,gemma3:4b,0.5,"['B001', 'W473', 'W291', 'W184', 'W457', 'W387']",ID:W291
FUNNY_5_EN,2,EN,gemma3:4b,0.5,"['B001', 'W473', 'W291', 'W184', 'W457', 'W387']",ID:W473
FUNNY_5_EN,1,EN,gemma3:4b,0.5,"['B002', 'W319', 'W428', 'W341', 'W101', 'W344']",ID:W428
FUNNY_5_EN,2,EN,gemma3:4b,0.5,"['B002', 'W319', 'W428', 'W341', 'W101', 'W344']",ID:W341
FUNNY_5_EN,1,EN,gemma3:4b,0.8,"['B001', 'W473', 'W291', 'W184', 'W457', 'W387']","ID:W473
"
FUNNY_5_EN,2,EN,gemma3:4b,0.8,"['B001', 'W473', 'W291', 'W184', 'W457', 'W387']",ID:W291
FUNNY_5_EN,1,EN,gemma3:4b,0.8,"['B002', 'W319', 'W428', 'W341', 'W101', 'W344']","ID:W341
"
FUNNY_5_EN,2,EN,gemma3:4b,0.8,"['B002', 'W319', 'W428', 'W341', 'W101', 'W344']",ID:W341
FUNNY_10_EN,1,EN,gemma3:4b,0.5,"['B001', 'W473', 'W291', 'W184', 'W457', 'W387', 'W375', 'W229', 'W127', 'W051', 'W417']","ID:W457, ID:W229"
FUNNY_10_EN,2,EN,gemma3:4b,0.5,"['B001', 'W473', 'W291', 'W184', 'W457', 'W387', 'W375', 'W229', 'W127', 'W051', 'W417']","ID:W473, ID:W387
"
FUNNY_10_EN,1,EN,gemma3:4b,0.5,"['B002', 'W319', 'W428', 'W341', 'W344', 'W101', 'W421', 'W129', 'W051', 'W417', 'W320']",ID:W428
FUNNY_10_EN,2,EN,gemma3:4b,0.5,"['B002', 'W319', 'W428', 'W341', 'W344', 'W101', 'W421', 'W129', 'W051', 'W417', 'W320']",ID:W428
FUNNY_10_EN,1,EN,gemma3:4b,0.8,"['B001', 'W473', 'W291', 'W184', 'W457', 'W387', 'W375', 'W229', 'W127', 'W051', 'W417']","ID:W457, ID:W229
"
FUNNY_10_EN,2,EN,gemma3:4b,0.8,"['B001', 'W473', 'W291', 'W184', 'W457', 'W387', 'W375', 'W229', 'W127', 'W051', 'W417']","ID:W457, ID:W229"
FUNNY_10_EN,1,EN,gemma3:4b,0.8,"['B002', 'W319', 'W428', 'W341', 'W344', 'W101', 'W421', 'W129', 'W051', 'W417', 'W320']","ID:W428
"
FUNNY_10_EN,2,EN,gemma3:4b,0.8,"['B002', 'W319', 'W428', 'W341', 'W344', 'W101', 'W421', 'W129', 'W051', 'W417', 'W320']",ID:W428
RANDOM_5_EN,1,EN,gemma3:4b,0.5,"['B001', 'W005', 'W105', 'W205', 'W305', 'W405']","ID:W205, ID:W305"
RANDOM_5_EN,2,EN,gemma3:4b,0.5,"['B001', 'W005', 'W105', 'W205', 'W305', 'W405']","ID:W205, ID:W305"
RANDOM_5_EN,1,EN,gemma3:4b,0.5,"['B002', 'W227', 'W327', 'W427', 'W027', 'W127']",ID:W427
RANDOM_5_EN,2,EN,gemma3:4b,0.5,"['B002', 'W227', 'W327', 'W427', 'W027', 'W127']",ID:W427
RANDOM_5_EN,1,EN,gemma3:4b,0.8,"['B001', 'W005', 'W105', 'W205', 'W305', 'W405']","ID:W205, ID:W305
"
RANDOM_5_EN,2,EN,gemma3:4b,0.8,"['B001', 'W005', 'W105', 'W205', 'W305', 'W405']","ID:W205, ID:W305
"
RANDOM_5_EN,1,EN,gemma3:4b,0.8,"['B002', 'W227', 'W327', 'W427', 'W027', 'W127']",ID:W427
RANDOM_5_EN,2,EN,gemma3:4b,0.8,"['B002', 'W227', 'W327', 'W427', 'W027', 'W127']",ID:W427
RANDOM_10_EN,1,EN,gemma3:4b,0.5,"['B001', 'W484', 'W084', 'W184', 'W284', 'W384', 'W001', 'W391', 'W271', 'W389', 'W328']","ID:W389,ID:W328
"
RANDOM_10_EN,2,EN,gemma3:4b,0.5,"['B001', 'W484', 'W084', 'W184', 'W284', 'W384', 'W001', 'W391', 'W271', 'W389', 'W328']","ID:W389,ID:W328"
RANDOM_10_EN,1,EN,gemma3:4b,0.5,"['B002', 'W452', 'W052', 'W152', 'W252', 'W352', 'W275', 'W390', 'W105', 'W162', 'W330']",ID:W352
RANDOM_10_EN,2,EN,gemma3:4b,0.5,"['B002', 'W452', 'W052', 'W152', 'W252', 'W352', 'W275', 'W390', 'W105', 'W162', 'W330']",ID:W352
RANDOM_10_EN,1,EN,gemma3:4b,0.8,"['B001', 'W484', 'W084', 'W184', 'W284', 'W384', 'W001', 'W391', 'W271', 'W389', 'W328']","ID:W389,ID:W328
"
RANDOM_10_EN,2,EN,gemma3:4b,0.8,"['B001', 'W484', 'W084', 'W184', 'W284', 'W384', 'W001', 'W391', 'W271', 'W389', 'W328']","ID:W389, ID:W328"
RANDOM_10_EN,1,EN,gemma3:4b,0.8,"['B002', 'W452', 'W052', 'W152', 'W252', 'W352', 'W275', 'W390', 'W105', 'W162', 'W330']",ID:W352
RANDOM_10_EN,2,EN,gemma3:4b,0.8,"['B002', 'W452', 'W052', 'W152', 'W252', 'W352', 'W275', 'W390', 'W105', 'W162', 'W330']",ID:W352
TOXIC_5_EN,1,EN,gemma3:4b,0.5,"['B001', 'W362', 'W158', 'W113', 'W340', 'W209']","ID:W158, ID:W340
"
